"location","lat","lng","category","term","http_code","count","first_type","response_file","headers_file"
"tehran-center","35.6892","51.3890","metro","ایستگاه مترو","200","30","train_station","docs\samples\p3-search-matrix\metro-tehran-center.json","docs\samples\p3-search-matrix\metro-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","brt","ایستگاه BRT","200","1","transit_station","docs\samples\p3-search-matrix\brt-tehran-center.json","docs\samples\p3-search-matrix\brt-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","bus","ایستگاه اتوبوس","200","30","bus_station","docs\samples\p3-search-matrix\bus-tehran-center.json","docs\samples\p3-search-matrix\bus-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","school","مدرسه","200","30","historical","docs\samples\p3-search-matrix\school-tehran-center.json","docs\samples\p3-search-matrix\school-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","university","دانشگاه","200","30","hospital","docs\samples\p3-search-matrix\university-tehran-center.json","docs\samples\p3-search-matrix\university-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","hospital","بیمارستان","200","30","hospital","docs\samples\p3-search-matrix\hospital-tehran-center.json","docs\samples\p3-search-matrix\hospital-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","clinic","درمانگاه","200","30","clinic","docs\samples\p3-search-matrix\clinic-tehran-center.json","docs\samples\p3-search-matrix\clinic-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","pharmacy","داروخانه","200","30","pharmacy","docs\samples\p3-search-matrix\pharmacy-tehran-center.json","docs\samples\p3-search-matrix\pharmacy-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","shoppingCenter","مرکز خرید","200","30","shopping_mall","docs\samples\p3-search-matrix\shoppingCenter-tehran-center.json","docs\samples\p3-search-matrix\shoppingCenter-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","supermarket","سوپرمارکت","200","30","supermarket","docs\samples\p3-search-matrix\supermarket-tehran-center.json","docs\samples\p3-search-matrix\supermarket-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","park","پارک","200","30","park","docs\samples\p3-search-matrix\park-tehran-center.json","docs\samples\p3-search-matrix\park-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","gym","باشگاه ورزشی","200","31","gym","docs\samples\p3-search-matrix\gym-tehran-center.json","docs\samples\p3-search-matrix\gym-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","bank","بانک","200","30","bank","docs\samples\p3-search-matrix\bank-tehran-center.json","docs\samples\p3-search-matrix\bank-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","mosque","مسجد","200","30","mosque","docs\samples\p3-search-matrix\mosque-tehran-center.json","docs\samples\p3-search-matrix\mosque-tehran-center.headers.txt"
"tehran-center","35.6892","51.3890","governmentOffice","اداره","200","30","local_government_office","docs\samples\p3-search-matrix\governmentOffice-tehran-center.json","docs\samples\p3-search-matrix\governmentOffice-tehran-center.headers.txt"
"abbas-abad","35.724","51.405","metro","ایستگاه مترو","200","30","bicycle_station","docs\samples\p3-search-matrix\metro-abbas-abad.json","docs\samples\p3-search-matrix\metro-abbas-abad.headers.txt"
"abbas-abad","35.724","51.405","brt","ایستگاه BRT","200","1","transit_station","docs\samples\p3-search-matrix\brt-abbas-abad.json","docs\samples\p3-search-matrix\brt-abbas-abad.headers.txt"
"abbas-abad","35.724","51.405","bus","ایستگاه اتوبوس","200","30","bus_station","docs\samples\p3-search-matrix\bus-abbas-abad.json","docs\samples\p3-search-matrix\bus-abbas-abad.headers.txt"
"abbas-abad","35.724","51.405","school","مدرسه","200","30","historical","docs\samples\p3-search-matrix\school-abbas-abad.json","docs\samples\p3-search-matrix\school-abbas-abad.headers.txt"
"abbas-abad","35.724","51.405","university","دانشگاه","200","30","hospital","docs\samples\p3-search-matrix\university-abbas-abad.json","docs\samples\p3-search-matrix\university-abbas-abad.headers.txt"
"abbas-abad","35.724","51.405","hospital","بیمارستان","200","30","hospital","docs\samples\p3-search-matrix\hospital-abbas-abad.json","docs\samples\p3-search-matrix\hospital-abbas-abad.headers.txt"
